% # columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst objective function value, interquartile range, further/more values", seed=697815, Sat Jan 17 16:09:31 2026, <python>{}</python>
1 6 0.12865856691250122 1.0000375007031337 -18.314435910622553 -1.8314435910622553e+01 -0.500831979196773 0.10411275902879757 0.5078437088269957   
2 12 0.11094450944441876 1.202368530922345 -18.314435910622553 -6.2294065933989273e+00 0.026854208365378107 0.7132434687557663 1.4435899025025012   
3 18 0.11210182215927673 1.2603428040792255 -18.314435910622553 -1.5972126676787040e+01 -1.0993211004188594 -0.6510570630426908 6.840052909801205   
4 24 0.10434702510965961 1.2876266231968911 -18.314435910622553 -1.4104738034728433e+01 -2.6659793229730164 -0.030462245345266342 4.89791533402964   
5 30 0.10635788711856692 1.4637759620251956 -18.314435910622553 -7.2459767941603586e+00 -0.8056790537060081 0.10587152196719918 6.333059932717557   
6 36 0.11847492052497437 1.5096637415023295 -18.314435910622553 -5.8332435339843025e+00 -1.2162285016926326 2.615608675400338 5.722131144101948   
7 42 0.12435591095026292 1.6467876990300352 -18.314435910622553 -1.1695891404394837e+01 -1.5427179345404316 3.6066750063071487 5.859447221537939   
8 48 0.12184707436911493 1.559296784854951 -18.314435910622553 -1.0725851461597571e+01 -1.405032388276254 1.0656374523384047 9.649342246738474   
9 54 0.10560702568307478 1.678920736291946 -18.314435910622553 -5.6356422223547504e+00 0.4013575167738881 0.6964616012743672 3.618426307026743   
10 60 0.092384347168681 1.6722420022887556 -19.788431209098565 -1.9788431209098565e+01 -2.4756976498622025 0.8260648319205471 10.3457856382953   
11 66 0.07888459456759725 1.6564945248376077 -19.788431209098565 -1.7252023579118256e+00 -1.0194239282155388 0.2821473559038976 0.47818257360134786   
12 72 0.07751837101756351 1.62461656547378 -19.788431209098565 -1.4404071259254545e+01 -6.5554519516953045 -0.3060376914135252 5.7791360472578095   
13 78 0.07750406787285599 1.7895948105015136 -19.788431209098565 -1.2299089651818226e+01 -1.3797495507005089 0.3582356391382998 7.3871924593554565   
14 84 0.09015838294421849 2.0073735415906797 -19.788431209098565 -1.4670604868176511e+01 -2.294307979787748 -0.09672782054155582 6.381594562583173   
15 90 0.08478404797791134 2.3676747531968196 -19.788431209098565 -1.2344308129457726e+01 -0.8878440129937855 -0.6159865655495135 2.820247944980033   
